email,matricola,nome,cognome
mario.rossi@studenti.poliba.it,702154,Mario,Rossi
alessandro.russo@studenti.poliba.it,708921,Alessandro,Russo
giulia.ferrari@studenti.poliba.it,703345,Giulia,Ferrari
lorenzo.esposito@studenti.poliba.it,706789,Lorenzo,Esposito
aurora.bianchi@studenti.poliba.it,701123,Aurora,Bianchi
mattia.romano@studenti.poliba.it,709988,Mattia,Romano
alice.colombo@studenti.poliba.it,705567,Alice,Colombo
leonardo.ricci@studenti.poliba.it,702234,Leonardo,Ricci
ginevra.marino@studenti.poliba.it,704456,Ginevra,Marino
gabriele.greco@studenti.poliba.it,707790,Gabriele,Greco
beatrice.bruno@studenti.poliba.it,703112,Beatrice,Bruno
francesco.gallo@studenti.poliba.it,708823,Francesco,Gallo
giorgia.conti@studenti.poliba.it,706677,Giorgia,Conti
edoardo.deluca@studenti.poliba.it,701999,Edoardo,De Luca
vittoria.mancini@studenti.poliba.it,705332,Vittoria,Mancini
riccardo.costa@studenti.poliba.it,702778,Riccardo,Costa
matilde.giordano@studenti.poliba.it,709111,Matilde,Giordano
tommaso.rizzo@studenti.poliba.it,704222,Tommaso,Rizzo
ludovica.lombardi@studenti.poliba.it,707333,Ludovica,Lombardi
federico.moretti@studenti.poliba.it,708444,Federico,Moretti
nicole.barbieri@studenti.poliba.it,701555,Nicole,Barbieri
antonio.fontana@studenti.poliba.it,706111,Antonio,Fontana
chiara.santoro@studenti.poliba.it,703888,Chiara,Santoro
pietro.mariani@studenti.poliba.it,705222,Pietro,Mariani
anna.rinaldi@studenti.poliba.it,709333,Anna,Rinaldi
filippo.caruso@studenti.poliba.it,702444,Filippo,Caruso
camilla.ferrara@studenti.poliba.it,704777,Camilla,Ferrara
giovanni.gallinaro@studenti.poliba.it,707888,Giovanni,Gallinaro
martina.martini@studenti.poliba.it,701222,Martina,Martini
andrea.leone@studenti.poliba.it,708555,Andrea,Leone
emma.longo@studenti.poliba.it,703666,Emma,Longo
marco.rossi@studenti.poliba.it,706999,Marco,Rossi
sara.martinelli@studenti.poliba.it,705111,Sara,Martinelli
davide.vitale@studenti.poliba.it,709444,Davide,Vitale
gaia.serra@studenti.poliba.it,702555,Gaia,Serra
luca.coppola@studenti.poliba.it,704888,Luca,Coppola
noemi.desantis@studenti.poliba.it,707222,Noemi,De Santis
stefano.damico@studenti.poliba.it,701888,Stefano,D'Amico
greta.marchetti@studenti.poliba.it,708222,Greta,Marchetti
michele.parisi@studenti.poliba.it,703555,Michele,Parisi
elena.villa@studenti.poliba.it,706444,Elena,Villa
giulio.conte@studenti.poliba.it,709777,Giulio,Conte
rebecca.ferrero@studenti.poliba.it,702888,Rebecca,Ferrero
simone.fabbri@studenti.poliba.it,704333,Simone,Fabbri
francesca.gatti@studenti.poliba.it,707666,Francesca,Gatti
claudio.palumbo@studenti.poliba.it,701333,Claudio,Palumbo
marta.rizzi@studenti.poliba.it,708666,Marta,Rizzi
alessio.grasso@studenti.poliba.it,703999,Alessio,Grasso
azzurra.valentini@studenti.poliba.it,705888,Azzurra,Valentini
nicolo.farina@studenti.poliba.it,702666,Nicolò,Farina
viola.bosco@studenti.poliba.it,704999,Viola,Bosco
giacomo.sartori@studenti.poliba.it,707555,Giacomo,Sartori
angelica.milani@studenti.poliba.it,701666,Angelica,Milani
daniele.mazzi@studenti.poliba.it,708999,Daniele,Mazzi
serena.donati@studenti.poliba.it,703222,Serena,Donati
manuel.sanna@studenti.poliba.it,706555,Manuel,Sanna
miriam.testa@studenti.poliba.it,709222,Miriam,Testa
samuele.cattaneo@studenti.poliba.it,702333,Samuele,Cattaneo
isabel.monti@studenti.poliba.it,704666,Isabel,Monti
christian.pellegrini@studenti.poliba.it,707999,Christian,Pellegrini
ilaria.bernardi@studenti.poliba.it,701444,Ilaria,Bernardi
